city;lat;lng
Copenhagen;55.6761;12.5689
Aarhus;56.1572;10.2107
Odense;55.4004;10.3833
Aalborg;57.0337;9.9166
Esbjerg;55.4670;8.4500
Vejle;55.7090;9.5350
Roskilde;55.6500;12.0833
Viborg;56.4333;9.4000
Svendborg;55.0704;10.6167
Hillerød;55.9333;12.3167
Frederikshavn;57.4337;10.5333
Sorø;55.4330;11.5667
Frederiksberg;55.6785;12.5221
Søborg;55.7302;12.5098
Hvidovre;55.6503;12.4758
Rødovre;55.6827;12.4644
Charlottenlund;55.7537;12.5918
Horsens;55.8657;9.8735
Slagelse;55.4027;11.3541
Sønderborg;54.9106;9.7928
Randers;56.4607;10.0364
Helsingør;56.0294;12.5863
Ringkøbing;56.0864;8.2487
Herlev;55.7235;12.4404
KongensLyngby;55.7718;12.5060
Kolding;55.4929;9.4681
Ballerup;55.7198;12.3520
Taastrup;55.6475;12.3120
VallensbækStrand;55.6139;12.3895
Glostrup;55.6666;12.4038
Brøndby;55.6541;12.4215
Frederiksværk;55.9677;12.0215
Holbæk;55.7135;11.7169
Næstved;55.2249;11.7842
Dragør;55.5946;12.6690
Albertslund;55.6623;12.3351
Holstebro;56.3595;8.6208
Hørsholm;55.8810;12.5011
Hjørring;57.4663;9.9889
Struer;56.4862;8.6044
Frederikssund;55.8389;12.0676
Rudkøbing;54.9380;10.7214
Ishøj;55.6184;12.3281
Køge;55.4600;12.1834
Rønne;55.1009;14.7066
Herning;56.1333;8.9833
Kerteminde;55.4505;10.6584
Allerød;55.8703;12.3574
Haderslev;55.2524;9.4893
Fredericia;55.5758;9.7617
Farum;55.8099;12.3623
Kalundborg;55.6820;11.1004
Assens;55.2712;9.9053
NykøbingFalster;54.7655;11.8751
SolrødStrand;55.5364;12.2252
Middelfart;55.4992;9.7445
NykøbingMors;56.7917;8.8499
Skive;56.5638;9.0402
Nyborg;55.3058;10.8034
Aabenraa;55.0362;9.4180
Holte;55.8167;12.4667
Hobro;56.6381;9.7953
Thisted;56.9588;8.6964
Greve;55.5966;12.2492
Kokkedal;55.9098;12.5152
Silkeborg;56.1701;9.5652
Grenaa;56.4128;10.8956
Haslev;55.3179;11.9740
Skanderborg;56.0313;9.9317
Ringsted;55.4411;11.8094
Maribo;54.7752;11.5024
Kastrup;55.6352;12.6489
Bogense;55.5652;10.0929
Hedensted;55.7701;9.6967
Vejen;55.4812;9.1379
Helsinge;56.0197;12.1990
Brønderslev;57.2651;9.9599
Vordingborg;55.0104;11.9039
Stenløse;55.7677;12.1960
Odder;55.9772;10.1683
Ærøskøbing;54.8912;10.4083
Tønder;54.9431;8.8693
Hinnerup;56.2661;10.0630
Støvring;56.8909;9.8310
Aars;56.8038;9.5158
Ikast;56.1367;9.1600
KirkeHvalsø;55.5958;11.8616
Ringe;55.2451;10.4706
Varde;55.6216;8.4807
Rønde;56.3015;10.4751
Aabybro;57.1500;9.7500
StoreHeddinge;55.3100;12.3898;DK;Sjælland;minor;;
Grindsted;55.7540;8.9123;DK;Syddanmark;minor;;
Højby;55.9115;11.5976;DK;Sjælland;minor;;
Tranebjerg;55.8326;10.5972;DK;Midtjylland;minor;;
Byrum;57.2568;10.9974;DK;Nordjylland;minor;;
Lemvig;56.5333;8.3000;DK;Midtjylland;minor;;
